*ActiveDAQ HHS versie1.07
*Date 23-9-97 Time: 9:16:35
*Raw data, 12 bits
*Sample frequency 100 Hz
*AC 1100000000000000
*--------------------------------------------------------------------------------
*Legends for 2 channels
*  1=                 2=               
*--------------------------------------------------------------------------------
*Fifo enabled      [x]
*Overall gain used [x] 
*Input range 
*  1:+/-10V           2:+/-10V         
*--------------------------------------------------------------------------------
*TIME      ch. 1     ch. 2    
* -----------------------
     0.010     2.051     4.091
     0.020     2.044     4.090
     0.030     2.026     4.091
     0.040     2.071     4.091
     0.050     2.031     4.090
     0.060     2.049     4.091
     0.070     2.047     4.090
     0.080     2.027     4.090
     0.090     2.073     4.090
     0.100     2.065     4.090
     0.110     2.027     4.091
     0.120     2.063     4.090
     0.130     2.034     4.090
     0.140     2.046     4.091
     0.150     2.060     4.090
     0.160     2.033     4.090
     0.170     2.064     4.090
     0.180     2.034     4.091
     0.190     2.044     4.091
     0.200     2.062     4.090
     0.210     2.033     4.090
     0.220     2.047     4.091
     0.230     2.057     4.090
     0.240     2.030     4.090
     0.250     2.065     4.091
     0.260     2.034     4.090
     0.270     2.052     4.090
     0.280     2.044     4.090
     0.290     2.026     4.091
     0.300     2.050     4.091
     0.310     2.049     4.090
     0.320     2.024     4.090
     0.330     2.067     4.090
     0.340     2.034     4.090
     0.350     4.065     4.090
     0.360     4.090     4.090
     0.370     4.090     4.090
     0.380     4.090     4.090
     0.390     4.089     4.091
     0.400     4.090     4.090
     0.410     4.090     4.090
     0.420     4.090     4.091
     0.430     4.090     4.090
     0.440     4.090     4.090
     0.450     4.090     4.090
     0.460     4.090     4.091
     0.470     4.090     4.091
     0.480     4.090     4.091
     0.490     4.089     4.090
     0.500     4.090     3.786
     0.510     4.090     3.699
     0.520     4.090     3.980
     0.530     4.090     3.823
     0.540     4.090     3.949
     0.550     4.089     4.090
     0.560     4.090     3.963
     0.570     4.089     4.070
     0.580     4.089     4.091
     0.590     4.089     4.015
     0.600     4.090     4.021
     0.610     4.090     4.091
     0.620     4.090     4.090
     0.630     4.089     3.883
     0.640     4.090     3.834
     0.650     4.089     3.854
     0.660     4.089     3.935
     0.670     4.090     4.001
     0.680     4.090     4.029
     0.690     4.090     4.091
     0.700     4.090     2.070
     0.710     4.090     2.032
     0.720     4.090     2.052
     0.730     4.089     2.049
     0.740     4.090     2.028
     0.750     4.090     2.066
     0.760     4.089     2.028
     0.770     4.089     2.042
     0.780     4.089     2.051
     0.790     4.090     2.021
     0.800     4.090     2.050
     0.810     4.089     2.058
     0.820     4.089     2.025
     0.830     4.089     2.067
     0.840     4.090     2.032
     0.850     4.089     2.047
     0.860     4.089     2.049
     0.870     4.090     2.025
     0.880     4.090     2.072
     0.890     4.089     2.032
     0.900     4.090     2.027
     0.910     4.090     2.068
     0.920     4.090     2.041
     0.930     4.090     2.049
     0.940     4.090     2.065
     0.950     4.090     2.020
     0.960     4.089     2.067
     0.970     4.090     2.037
     0.980     4.090     2.048
     0.990     4.089     2.070
     1.000     4.089     2.043
     1.010     4.090     2.049
     1.020     4.089     2.059
     1.030     4.089     2.021
     1.040     4.090     2.065
     1.050     4.089     2.034
     1.060     4.089     2.047
     1.070     4.089     2.052
     1.080     4.089     2.019
     1.090     4.089     2.070
     1.100     4.089     2.067
     1.110     4.090     2.016
     1.120     4.089     2.071
     1.130     4.089     2.045
     1.140     4.090     2.047
     1.150     4.089     2.067
     1.160     4.089     4.091
     1.170     4.090     4.080
     1.180     4.089     3.862
     1.190     4.090     3.991
     1.200     4.090     4.091
     1.210     4.089     4.091
     1.220     4.089     4.091
     1.230     4.089     4.090
     1.240     4.089     4.091
     1.250     4.090     4.092
     1.260     4.089     4.090
     1.270     4.089     4.090
     1.280     4.090     4.091
     1.290     4.089     4.091
     1.300     4.089     4.090
     1.310     4.089     4.088
     1.320     4.089     4.090
     1.330     4.089     4.091
     1.340     4.089     4.090
     1.350     4.090     4.088
     1.360     4.090     4.090
     1.370     4.089     4.091
     1.380     4.089     4.091
     1.390     4.089     4.091
     1.400     4.090     4.091
     1.410     4.089     2.029
     1.420     4.089     2.062
     1.430     4.089     2.037
     1.440     4.090     2.049
     1.450     4.089     2.067
     1.460     4.089     2.019
     1.470     4.090     2.066
     1.480     4.089     2.046
     1.490     4.090     2.047
     1.500     4.089     2.067
     1.510     4.089     2.046
     1.520     4.090     2.045
     1.530     4.089     2.061
     1.540     4.089     2.030
     1.550     4.089     2.066
     1.560     4.089     2.043
     1.570     4.089     2.042
     1.580     4.089     2.061
     1.590     4.089     2.026
     1.600     4.089     2.031
     1.610     4.089     2.064
     1.620     4.089     2.030
     1.630     4.089     2.065
     1.640     4.089     2.045
     1.650     4.090     2.047
     1.660     4.090     2.062
     1.670     4.089     2.027
     1.680     4.090     2.060
     1.690     4.089     2.047
     1.700     4.090     2.026
     1.710     4.090     2.053
     1.720     4.089     2.047
     1.730     4.089     2.027
     1.740     4.089     2.065
     1.750     4.089     2.034
     1.760     4.090     2.058
     1.770     4.089     2.048
     1.780     4.090     2.028
     1.790     4.089     2.061
     1.800     4.089     2.043
     1.810     4.090     2.039
     1.820     4.089     2.062
     1.830     4.089     2.036
     1.840     4.090     2.061
     1.850     4.089     2.047
     1.860     4.090     2.046
     1.870     4.089     2.061
     1.880     4.089     2.034
     1.890     4.089     2.061
     1.900     4.089     2.059
     1.910     4.089     2.034
     1.920     4.089     2.063
     1.930     4.089     2.047
     1.940     4.089     2.040
     1.950     4.089     2.061
     1.960     4.089     2.034
     1.970     4.089     2.063
     1.980     4.089     2.048
     1.990     4.090     2.050
     2.000     4.090     2.064
     2.010     4.089     2.047
     2.020     4.090     2.048
     2.030     4.089     2.062
     2.040     4.089     2.031
     2.050     4.089     3.940
     2.060     4.089     4.091
     2.070     4.089     4.091
     2.080     4.089     4.091
     2.090     4.090     4.091
     2.100     4.089     4.091
