*ActiveDAQ HHS versie1.07
*Date 23-9-97 Time: 12:48:07
*Raw data, 12 bits
*Sample frequency 100 Hz
*AC 1100000000000000
*--------------------------------------------------------------------------------
*Legends for 2 channels
*  1=                 2=               
*--------------------------------------------------------------------------------
*Fifo enabled      [x]
*Overall gain used [x] 
*Input range 
*  1:+/-10V           2:+/-10V         
*--------------------------------------------------------------------------------
*TIME      ch. 1     ch. 2    
* -----------------------
     0.010     4.091     4.091
     0.020     4.090     4.090
     0.030     4.091     4.090
     0.040     4.090     4.090
     0.050     4.090     4.091
     0.060     4.090     4.091
     0.070     4.090     4.090
     0.080     4.090     4.090
     0.090     4.091     4.091
     0.100     4.090     4.090
     0.110     4.090     4.091
     0.120     4.090     4.090
     0.130     4.090     4.091
     0.140     4.090     4.091
     0.150     4.090     4.090
     0.160     4.090     4.091
     0.170     4.090     4.091
     0.180     4.090     4.090
     0.190     4.091     4.090
     0.200     4.090     4.090
     0.210     4.090     4.091
     0.220     4.091     4.091
     0.230     4.090     4.091
     0.240     4.090     4.091
     0.250     4.090     4.090
     0.260     4.090     4.090
     0.270     4.091     4.091
     0.280     4.090     4.091
     0.290     4.090     4.091
     0.300     4.090     4.091
     0.310     4.090     4.091
     0.320     4.091     4.090
     0.330     4.090     4.091
     0.340     4.090     4.090
     0.350     4.091     4.091
     0.360     4.090     4.091
     0.370     4.090     4.091
     0.380     4.090     4.091
     0.390     4.091     4.090
     0.400     4.090     4.091
     0.410     4.090     4.091
     0.420     4.090     4.090
     0.430     4.091     4.091
     0.440     4.090     4.090
     0.450     4.091     4.091
     0.460     4.090     4.091
     0.470     4.090     4.090
     0.480     4.091     4.090
     0.490     4.090     4.091
     0.500     4.090     4.090
     0.510     4.090     4.091
     0.520     4.091     4.091
     0.530     4.090     4.091
     0.540     4.090     4.091
     0.550     4.090     4.090
     0.560     4.091     4.091
     0.570     4.090     4.090
     0.580     4.090     4.091
     0.590     4.091     4.091
     0.600     4.090     4.090
     0.610     4.090     4.091
     0.620     4.090     4.091
     0.630     4.090     4.091
     0.640     4.090     4.091
     0.650     4.090     4.090
     0.660     4.090     4.090
     0.670     4.090     4.091
     0.680     4.090     4.090
     0.690     4.090     4.091
     0.700     4.090     4.090
     0.710     4.089     4.090
     0.720     4.090     4.091
     0.730     4.090     4.090
     0.740     4.090     4.090
     0.750     4.091     4.091
     0.760     4.090     4.090
     0.770     4.091     4.091
     0.780     4.090     4.090
     0.790     4.090     4.090
     0.800     4.090     4.091
     0.810     4.090     4.091
     0.820     4.090     4.090
     0.830     4.090     4.090
     0.840     4.090     4.090
     0.850     4.090     4.090
     0.860     4.090     4.090
     0.870     4.090     4.091
     0.880     4.091     4.091
     0.890     4.090     4.091
     0.900     4.090     4.090
     0.910     4.090     4.091
     0.920     4.090     4.090
     0.930     4.090     4.091
     0.940     4.090     4.090
     0.950     4.090     4.090
     0.960     4.090     4.091
     0.970     4.089     4.091
     0.980     4.090     4.091
     0.990     4.090     4.091
     1.000     4.091     4.090
     1.010     4.091     4.090
     1.020     4.090     4.091
     1.030     4.090     4.091
     1.040     4.090     4.091
     1.050     4.090     4.091
     1.060     4.090     4.090
     1.070     4.090     4.090
     1.080     4.090     4.091
     1.090     4.091     4.090
     1.100     4.090     4.090
     1.110     4.090     4.090
     1.120     4.090     4.091
     1.130     4.090     4.090
     1.140     4.090     4.090
     1.150     4.090     4.091
     1.160     4.090     4.090
     1.170     4.091     4.091
     1.180     4.090     4.091
     1.190     4.090     4.091
     1.200     4.090     4.091
     1.210     4.090     4.091
     1.220     4.090     4.090
     1.230     4.090     4.090
     1.240     4.090     4.090
     1.250     4.090     4.091
     1.260     4.090     4.090
     1.270     4.090     4.091
     1.280     4.090     4.091
     1.290     4.090     4.090
     1.300     4.090     4.090
     1.310     4.091     4.090
     1.320     4.090     4.091
     1.330     4.090     4.091
     1.340     4.090     4.091
     1.350     4.090     4.090
     1.360     4.090     4.090
     1.370     4.090     4.090
     1.380     4.091     4.091
     1.390     4.090     4.090
     1.400     4.090     4.090
     1.410     4.090     4.091
     1.420     4.090     4.090
     1.430     4.090     4.091
     1.440     4.091     4.091
     1.450     4.090     4.090
     1.460     4.090     4.090
     1.470     4.090     4.091
     1.480     4.090     4.091
     1.490     4.090     4.091
     1.500     4.090     4.090
     1.510     4.090     4.091
     1.520     4.090     4.090
     1.530     4.090     4.091
     1.540     4.090     4.091
     1.550     4.090     4.090
     1.560     4.091     4.091
     1.570     4.090     4.091
     1.580     4.090     4.091
     1.590     4.090     4.091
     1.600     4.090     4.091
     1.610     4.090     4.090
     1.620     4.090     4.091
     1.630     4.090     4.091
     1.640     4.090     4.091
     1.650     4.090     4.090
     1.660     4.090     4.090
     1.670     4.090     4.091
     1.680     4.090     4.091
     1.690     4.090     4.091
     1.700     4.090     4.091
     1.710     4.090     4.090
     1.720     4.090     4.091
     1.730     4.090     4.090
     1.740     4.090     4.090
     1.750     4.091     4.090
     1.760     4.090     4.090
     1.770     4.090     4.090
     1.780     4.090     4.091
     1.790     4.089     4.090
     1.800     4.090     4.091
     1.810     4.091     4.090
     1.820     4.090     4.090
     1.830     4.091     4.091
     1.840     4.090     4.091
     1.850     4.090     4.091
     1.860     4.090     4.091
     1.870     4.090     4.090
     1.880     4.090     4.091
     1.890     4.090     4.091
     1.900     4.090     4.090
     1.910     4.090     4.091
     1.920     4.090     4.091
     1.930     4.091     4.091
     1.940     4.091     4.091
     1.950     4.089     4.090
     1.960     4.090     4.090
     1.970     4.091     4.091
     1.980     4.090     4.091
     1.990     4.090     4.091
     2.000     4.091     4.090
     2.010     4.090     4.090
     2.020     4.090     4.091
     2.030     4.089     4.090
     2.040     4.090     4.090
     2.050     4.090     4.091
     2.060     4.090     4.091
     2.070     4.090     4.090
     2.080     4.090     4.090
     2.090     4.090     4.091
     2.100     4.090     4.091
