*ActiveDAQ HHS versie1.07
*Date 19-10-12 Time: 14:00:17
*Raw data, 12 bits
*Sample frequency 100 Hz
*AC 1100000000000000
*--------------------------------------------------------------------------------
*Legends for 2 channels
*  1=                 2=               
*--------------------------------------------------------------------------------
*Fifo enabled      [x]
*Overall gain used [x] 
*Input range 
*  1:+/-10V           2:+/-10V         
*--------------------------------------------------------------------------------
*TIME      ch. 1     ch. 2    
* -----------------------
     0.010     4.094     2.049
     0.020     4.093     2.040
     0.030     4.094     2.056
     0.040     4.094     2.039
     0.050     4.095     2.049
     0.060     4.093     2.044
     0.070     4.094     2.040
     0.080     4.093     2.055
     0.090     4.094     2.039
     0.100     4.094     2.040
     0.110     4.093     2.053
     0.120     4.093     2.043
     0.130     4.094     2.047
     0.140     4.094     2.046
     0.150     4.094     2.038
     0.160     4.094     2.052
     0.170     4.093     2.042
     0.180     4.094     2.046
     0.190     4.093     2.054
     0.200     4.094     2.048
     0.210     4.094     2.845
     0.220     4.093     4.095
     0.230     4.093     4.095
     0.240     4.094     4.094
     0.250     4.094     4.095
     0.260     4.093     4.095
     0.270     4.093     4.094
     0.280     4.094     4.095
     0.290     4.094     4.095
     0.300     4.093     4.094
     0.310     4.094     4.094
     0.320     4.094     4.094
     0.330     2.046     4.094
     0.340     2.046     4.095
     0.350     2.053     4.093
     0.360     2.040     4.094
     0.370     2.050     4.094
     0.380     2.047     4.094
     0.390     2.045     4.094
     0.400     2.052     4.094
     0.410     2.046     4.094
     0.420     2.042     4.095
     0.430     2.053     4.094
     0.440     2.040     4.094
     0.450     2.055     4.094
     0.460     2.046     4.094
     0.470     2.044     4.094
     0.480     2.050     4.094
     0.490     2.039     4.094
     0.500     2.042     4.095
     0.510     2.052     4.094
     0.520     2.041     4.094
     0.530     2.048     4.095
     0.540     2.047     4.094
     0.550     2.037     4.094
     0.560     2.051     4.094
     0.570     2.041     4.095
     0.580     2.050     4.095
     0.590     2.047     4.094
     0.600     2.041     4.094
     0.610     2.044     4.095
     0.620     2.046     4.094
     0.630     2.041     4.094
     0.640     2.051     4.094
     0.650     2.041     4.094
     0.660     2.046     4.094
     0.670     2.046     4.094
     0.680     2.040     4.095
     0.690     2.054     4.094
     0.700     2.047     4.093
     0.710     2.037     4.094
     0.720     2.053     4.094
     0.730     2.038     4.094
     0.740     4.095     4.095
     0.750     4.094     4.094
     0.760     4.094     4.094
     0.770     4.095     4.095
     0.780     4.094     3.599
     0.790     4.095     2.046
     0.800     4.094     2.059
     0.810     4.093     2.042
     0.820     4.094     2.047
     0.830     4.094     2.045
     0.840     4.094     2.038
     0.850     4.094     2.053
     0.860     4.093     2.042
     0.870     4.094     2.047
     0.880     4.094     2.048
     0.890     4.094     2.035
     0.900     4.095     2.048
     0.910     4.094     2.049
     0.920     4.094     2.041
     0.930     4.094     2.051
     0.940     4.094     2.044
     0.950     4.094     2.048
     0.960     4.094     2.051
     0.970     4.094     2.038
     0.980     4.093     2.051
     0.990     4.094     2.047
     1.000     4.094     2.038
     1.010     4.094     2.049
     1.020     4.094     2.046
     1.030     4.094     2.034
     1.040     4.094     2.057
     1.050     4.094     2.039
     1.060     4.094     2.049
     1.070     4.093     2.046
     1.080     4.095     2.035
     1.090     4.094     2.057
     1.100     4.094     2.046
     1.110     4.094     2.035
     1.120     4.094     2.058
     1.130     4.093     2.040
     1.140     4.094     2.048
     1.150     4.093     2.047
     1.160     4.094     2.039
     1.170     4.093     2.059
     1.180     4.094     2.039
     1.190     4.094     2.052
     1.200     4.094     2.059
     1.210     4.093     2.040
     1.220     4.094     2.049
     1.230     4.093     2.044
     1.240     4.094     2.030
     1.250     4.094     2.057
     1.260     4.094     4.095
     1.270     4.094     4.094
     1.280     4.094     4.095
     1.290     4.094     4.095
     1.300     4.094     4.095
     1.310     4.093     4.094
     1.320     4.094     4.095
     1.330     2.052     4.094
     1.340     2.042     4.094
     1.350     2.048     4.095
     1.360     2.050     4.094
     1.370     2.040     4.094
     1.380     2.051     4.095
     1.390     2.046     4.094
     1.400     2.041     4.095
     1.410     2.054     4.095
     1.420     2.044     4.094
     1.430     2.043     4.094
     1.440     2.056     4.094
     1.450     2.037     4.094
     1.460     2.054     4.094
     1.470     2.043     4.094
     1.480     2.038     4.095
     1.490     2.052     4.095
     1.500     2.054     4.095
     1.510     2.040     4.095
     1.520     2.049     4.094
     1.530     2.043     4.095
     1.540     2.036     4.095
     1.550     2.054     4.094
     1.560     2.043     4.095
     1.570     2.050     4.095
     1.580     2.049     4.094
     1.590     2.036     4.094
     1.600     2.049     4.095
     1.610     2.054     4.094
     1.620     2.039     4.094
     1.630     2.054     4.094
     1.640     2.047     4.094
     1.650     2.046     4.095
     1.660     2.054     4.093
     1.670     2.043     4.095
     1.680     2.056     4.094
     1.690     2.047     4.094
     1.700     2.046     4.094
     1.710     2.048     4.095
     1.720     2.046     4.094
     1.730     4.094     4.094
     1.740     4.095     4.095
     1.750     4.094     4.094
     1.760     4.095     3.685
     1.770     4.095     2.058
     1.780     4.094     2.042
     1.790     4.095     4.094
     1.800     4.094     2.058
     1.810     4.094     2.053
     1.820     4.094     2.047
     1.830     4.095     2.047
     1.840     4.094     2.033
     1.850     4.095     2.057
     1.860     4.094     2.050
     1.870     4.095     2.044
     1.880     4.094     2.055
     1.890     4.094     2.038
     1.900     4.095     2.039
     1.910     4.094     2.059
     1.920     4.094     2.045
     1.930     4.094     2.055
     1.940     4.094     2.046
     1.950     4.094     2.041
     1.960     4.094     2.050
     1.970     4.094     2.034
     1.980     4.094     2.053
     1.990     4.094     2.046
     2.000     4.094     2.035
     2.010     4.094     2.059
     2.020     4.093     2.050
     2.030     4.094     2.035
     2.040     4.094     2.053
     2.050     4.094     2.038
     2.060     4.093     2.060
     2.070     4.094     2.047
     2.080     4.094     2.036
     2.090     4.094     2.057
     2.100     4.094     2.053
