Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
113,-0.625,0.625,-2.625,-0.7089844,0.04833984,0.8027344,0.2695313,0.2993164,-0.4707031
116,-0.4375,-2,-0.5625,-0.6425781,-0.01367188,0.8066406,0.2749023,0.2993164,-0.4765625
119,0.25,-2.125,-0.6875,-0.7128906,0.001464844,0.7836914,0.2607422,0.3129883,-0.4794922
122,-0.1875,-2.25,-0.375,-0.6816406,0.01708984,0.8066406,0.2607422,0.3129883,-0.4794922
125,-0.1875,-1.6875,-0.3125,-0.7011719,0.02880859,0.7607422,0.2607422,0.3129883,-0.4794922
128,-0.5625,-2.625,-0.4375,-0.7011719,0.02490234,0.7875977,0.2636719,0.3046875,-0.4765625
131,-1.4375,-2.3125,-0.1875,-0.6894531,0.03271484,0.7797852,0.2636719,0.3046875,-0.4765625
134,-1.8125,-2.3125,-0.4375,-0.7050781,0.02490234,0.7719727,0.2553711,0.2963867,-0.4794922
137,-1.4375,-1.625,-1,-0.6972656,0.01708984,0.7719727,0.2553711,0.2963867,-0.4794922
140,-1.125,-1.1875,-2,-0.6972656,0.005371094,0.7758789,0.2636719,0.3017578,-0.4848633
143,-2.1875,-1.6875,-1.75,-0.6660156,0.01708984,0.7490234,0.2636719,0.3017578,-0.4848633
146,-2.1875,-2,-1.3125,-0.7050781,0.03271484,0.7758789,0.2666016,0.293457,-0.4824219
149,-2,-2.4375,-0.5,-0.6816406,0.02880859,0.7719727,0.2636719,0.2963867,-0.4794922
152,-1.25,-1.4375,0.3125,-0.6855469,0.001464844,0.7758789,0.2636719,0.2963867,-0.4794922
155,-0.5625,-1.125,1.375,-0.6972656,-0.001953125,0.7719727,0.2636719,0.2963867,-0.4794922
158,-0.0625,-1.125,2.0625,-0.6816406,0.005371094,0.7719727,0.2636719,0.2963867,-0.4794922
161,-0.375,-2.0625,2.125,-0.6777344,-0.009765625,0.7797852,0.2636719,0.3017578,-0.4765625
164,-0.8125,-3.5,2.4375,-0.6503906,0.03271484,0.7797852,0.2724609,0.3076172,-0.465332
167,-1.6875,-5.125,2.5625,-0.6933594,0.01708984,0.7758789,0.2724609,0.3076172,-0.465332
170,-1.5,-4.5625,2.125,-0.6777344,0.03662109,0.7988281,0.2636719,0.3046875,-0.4765625
173,-1.25,-3.6875,1,-0.6503906,0.02099609,0.8066406,0.2636719,0.3046875,-0.4765625
176,-1,-1.75,0.5625,-0.6542969,0.005371094,0.8027344,0.2636719,0.3017578,-0.4765625
179,-0.3125,-1.125,0.625,-0.6621094,0.02099609,0.7758789,0.2636719,0.3017578,-0.4765625
182,-0.5,-0.625,-0.0625,-0.6738281,0.03271484,0.7797852,0.2636719,0.3076172,-0.4824219
185,-1.0625,0.375,-0.1875,-0.6777344,0.02880859,0.7373047,0.2607422,0.2963867,-0.4707031
188,-0.4375,0.6875,-0.375,-0.6855469,0.01318359,0.7680664,0.2607422,0.2963867,-0.4707031
191,-0.875,1.125,0.0625,-0.6621094,0.02099609,0.7836914,0.2607422,0.3046875,-0.4765625
194,0,2.0625,0.625,-0.6738281,0.02490234,0.7568359,0.2607422,0.3046875,-0.4765625
197,0.8125,3.375,0.625,-0.6777344,0.02099609,0.8066406,0.2578125,0.2963867,-0.4794922
200,2.0625,4.9375,1.3125,-0.6972656,-0.001953125,0.7797852,0.2724609,0.3076172,-0.4794922
203,1.75,3.75,1.4375,-0.6816406,0.009277344,0.7836914,0.2724609,0.3076172,-0.4794922
206,1.375,2.8125,1.5,-0.6542969,0.02490234,0.7607422,0.2636719,0.2993164,-0.4765625
209,0.3125,1.5625,1.9375,-0.6816406,0.01708984,0.7719727,0.2636719,0.2993164,-0.4765625
212,-0.9375,-0.0625,2.0625,-0.6660156,0.01318359,0.7875977,0.2636719,0.2963867,-0.4794922
215,-2.125,-0.875,1.8125,-0.6894531,0.01318359,0.7451172,0.2636719,0.2963867,-0.4794922
218,-1.8125,-1.1875,1.375,-0.7167969,0.01708984,0.7607422,0.2636719,0.2963867,-0.4848633
221,-1,-1.3125,0.5,-0.6738281,0.04052734,0.7758789,0.2695313,0.3076172,-0.4765625
224,-0.75,-0.375,0.125,-0.7011719,0.02099609,0.7719727,0.2695313,0.3076172,-0.4765625
227,-0.9375,-0.25,0.125,-0.6894531,0.02099609,0.7719727,0.2666016,0.3017578,-0.4765625
230,-1.5625,-1,0.25,-0.6855469,0.005371094,0.7641602,0.2666016,0.3017578,-0.4765625
233,-1.125,-1.1875,0.3125,-0.6777344,0.009277344,0.7607422,0.2724609,0.2993164,-0.4794922
236,-0.875,-0.8125,0.6875,-0.6816406,0.02490234,0.7758789,0.2636719,0.3046875,-0.4765625
239,-1.5,-1,0.6875,-0.6738281,0.01708984,0.7529297,0.2636719,0.3046875,-0.4765625
242,-1.5625,-1,0.5625,-0.6855469,0.02099609,0.7719727,0.2636719,0.3017578,-0.4794922
245,-1.3125,-0.125,0.3125,-0.6894531,0.01318359,0.8105469,0.2636719,0.3017578,-0.4794922
248,-0.5,0.4375,-0.125,-0.6855469,0.01318359,0.7949219,0.2607422,0.2993164,-0.4907227
251,-0.3125,0.9375,-0.3125,-0.6621094,0.02099609,0.7875977,0.2578125,0.3046875,-0.4707031
254,-0.125,1.1875,0.0625,-0.6816406,0.02099609,0.7719727,0.2578125,0.3046875,-0.4707031
257,-0.5,0.5,-0.1875,-0.6816406,0.03662109,0.7949219,0.2666016,0.3046875,-0.4707031
260,-1.3125,-0.3125,-0.4375,-0.7089844,0.005371094,0.7797852,0.2666016,0.3046875,-0.4707031
263,-1.375,-0.875,0.0625,-0.6816406,0.01708984,0.7797852,0.2695313,0.3017578,-0.4736328
266,-0.6875,-0.6875,0,-0.7011719,0.009277344,0.7758789,0.2695313,0.3017578,-0.4736328
269,-0.6875,-0.6875,0,-0.6660156,0.01708984,0.7875977,0.2695313,0.3017578,-0.4765625
272,-1.0625,-0.0625,0.0625,-0.6933594,0.009277344,0.7412109,0.2695313,0.2993164,-0.4824219
275,-0.9375,-0.3125,0.5,-0.6621094,0.03662109,0.7680664,0.2695313,0.2993164,-0.4824219
278,-1.3125,-0.1875,0.3125,-0.6777344,0.03662109,0.7875977,0.2666016,0.2993164,-0.4736328
281,-1.4375,-0.9375,0.3125,-0.6582031,0.02099609,0.7719727,0.2666016,0.2993164,-0.4736328
284,-1.5,-1.375,0.625,-0.6855469,0.03271484,0.7719727,0.2636719,0.3017578,-0.4794922
287,-1.9375,-1.6875,1.0625,-0.6933594,0.03271484,0.7758789,0.2666016,0.3017578,-0.4794922
290,-1.75,-1.4375,0.5625,-0.6738281,0.02490234,0.7949219,0.2666016,0.3017578,-0.4794922
293,-1.625,-1,-0.125,-0.7011719,0.03271484,0.7680664,0.2636719,0.3017578,-0.4794922
296,-2,-0.6875,-0.25,-0.6425781,0.04833984,0.7915039,0.2636719,0.3017578,-0.4794922
299,-1.125,-0.4375,-0.8125,-0.6894531,0.04833984,0.7719727,0.2724609,0.3017578,-0.465332
302,-1.125,-0.3125,-1.4375,-0.6582031,0.005371094,0.7797852,0.2724609,0.3017578,-0.465332
305,-1.5625,-0.0625,-1.1875,-0.6542969,0.01708984,0.7607422,0.2636719,0.3017578,-0.487793
308,-1.9375,-0.0625,-1.125,-0.6816406,0.001464844,0.7915039,0.2666016,0.3017578,-0.4765625
311,-1.1875,-0.375,-0.625,-0.6816406,0.02490234,0.7797852,0.2666016,0.3017578,-0.4765625
314,-1.4375,-0.875,-1,-0.6542969,0.009277344,0.8027344,0.2666016,0.3017578,-0.4765625
317,-1.0625,0,-0.75,-0.6738281,0.03662109,0.7915039,0.2666016,0.3017578,-0.4765625
320,-0.75,0.625,-0.9375,-0.6777344,0.03662109,0.8027344,0.2636719,0.2963867,-0.4736328
323,-0.6875,1.625,-1.0625,-0.6855469,0.009277344,0.7680664,0.2666016,0.3017578,-0.4794922
326,-1.0625,1.3125,-1,-0.6738281,0.001464844,0.7568359,0.2666016,0.3017578,-0.4794922
329,-2.0625,0.5,-0.875,-0.6933594,0.02880859,0.7641602,0.2666016,0.3100586,-0.4824219
332,-2.1875,0.6875,0,-0.6777344,0.009277344,0.7680664,0.2666016,0.3100586,-0.4824219
335,-0.5625,2,1.625,-0.6542969,0.001464844,0.7607422,0.2749023,0.3017578,-0.4907227
338,-0.25,2.3125,2.5625,-0.6855469,0.01708984,0.7412109,0.2749023,0.3017578,-0.4907227
341,-0.125,2.1875,3.0625,-0.7050781,0.01708984,0.7529297,0.2636719,0.2993164,-0.4794922
344,-1,0.5625,2.375,-0.6738281,0.03662109,0.7641602,0.2636719,0.2993164,-0.4794922
347,-1.5625,0.0625,1.5625,-0.6738281,0.005371094,0.7915039,0.2636719,0.2993164,-0.4794922
